IRE,I110,I300,I202,I100,I034,I245,I042,I050,I161,I038,I000,I550,I040,I070,I310,I500,hexdata,len,I010,I120,I210,I200,I041,I131,category,I090,I080,I030,I140,I020,I141,I220,I250,ts,I036,I091,I270,crc,ISP,I130,I170,I060
,,,,,,,,,,,,,,,,,00,1,,,,,,,1,,,,,,,,,1741740517035.0,,,,A505DF1B,,,,
,,,,,,,,,,,,,,"{'V': {'desc': '', 'val': 0, 'meaning': 'Code validated'}, 'G': {'desc': '', 'val': 1, 'meaning': 'Garbled code'}, 'L': {'desc': '', 'val': 1, 'meaning': 'Smoothed Mode-3/A code as provided by a local tracker'}, 'spare': {'desc': 'spare bit set to 0', 'val': 0, 'const': 0}, 'Mode3A': {'desc': 'Mode-3/A reply code', 'val': '3425'}}",,,9036776715,5,"{'SAC': {'desc': 'System Area Code', 'val': 54}, 'SIC': {'desc': 'System Identification Code', 'val': 119}}",,,,,,1,,,,,,,,,1741740517035.0,,,,E9DB399E,,,,
,,,,,,,,,,,,,,,,,00,1,,,,,,,1,,,,,,,,,1741740517035.0,,,,A505DF1B,,,,
,,,,,,,,,,,,,,"{'V': {'desc': '', 'val': 0, 'meaning': 'Code validated'}, 'G': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'L': {'desc': '', 'val': 0, 'meaning': 'Mode-3/A code as derived from the reply of the transponder'}, 'spare': {'desc': 'spare bit set to 0', 'val': 0, 'const': 0}, 'Mode3A': {'desc': 'Mode-3/A reply code', 'val': '4036'}}",,,50F51B7B6BD386081E,9,,,,,,,1,,,,,"{'TYP': {'desc': '', 'val': 1, 'meaning': 'Track'}, 'SIM': {'desc': '', 'val': 1, 'meaning': 'Simulated plot or track'}, 'SSRPSR': {'desc': '', 'val': 3, 'meaning': 'Combined primary and secondary detection'}, 'ANT': {'desc': '', 'val': 0, 'meaning': 'Target report from antenna 1'}, 'SPI': {'desc': '', 'val': 1, 'meaning': 'Special Position Identification'}, 'RAB': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'FX': {'desc': '', 'val': 0, 'meaning': 'End of Data Item'}, 'TST': {'desc': '', 'val': 1, 'meaning': 'Test target indicator'}, 'DS1DS2': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'ME': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'MI': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'spare': {'desc': 'spare bits set to 0', 'val': 3, 'const': 0}}",,,,1741740517035.0,,,,3DFAEEF1,,,,
,,,,,,,,,,,,,,,,,,4,,,,,,,1,,,,,,,,,1741740517035.0,,,,00000000,,,,
,,,,,,,,,"{'tpn': {'desc': 'Track Plot Number', 'val': 48702}}",,,,"{'RHO': {'desc': '', 'val': 339.6328125, 'max': 512.0}, 'THETA': {'desc': '', 'val': 242.039794921875}}","{'V': {'desc': '', 'val': 0, 'meaning': 'Code validated'}, 'G': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'L': {'desc': '', 'val': 0, 'meaning': 'Mode-3/A code as derived from the reply of the transponder'}, 'spare': {'desc': 'spare bit set to 0', 'val': 0, 'const': 0}, 'Mode3A': {'desc': 'Mode-3/A reply code', 'val': '3410'}}",,,B7001186BE3EA9D1AC1E5607080F0708,16,"{'SAC': {'desc': 'System Area Code', 'val': 17}, 'SIC': {'desc': 'System Identification Code', 'val': 134}}",,,"{'CalcGS': {'desc': 'Calculated groundspeed', 'val': 4845.06}, 'CalcHdg': {'desc': 'Calculated heading', 'val': 11.3323974609375}}",,,1,,,,,,,,,1741740517035.0,,,,7589607A,,,,
,,,,,,,,,,,,,,"{'V': {'desc': '', 'val': 0, 'meaning': 'Code validated'}, 'G': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'L': {'desc': '', 'val': 0, 'meaning': 'Mode-3/A code as derived from the reply of the transponder'}, 'spare': {'desc': 'spare bit set to 0', 'val': 1, 'const': 0}, 'Mode3A': {'desc': 'Mode-3/A reply code', 'val': '3070'}}",,,101638,3,,,,,,,1,,,,,,,,,1741740517035.0,,,,D63F1D1C,,,,
,,,,,,,,,,,,,,,,,,18,,,,,,,1,,,,,,,,,1741740517035.0,,,,00000000,,,,
,,,,,,,"{'X': {'desc': 'X component', 'val': -15023}, 'Y': {'desc': 'Y component', 'val': 28}}",,"{'tpn': {'desc': 'Track Plot Number', 'val': 17973}}",,,,"{'RHO': {'desc': '', 'val': 406.984375, 'max': 512.0}, 'THETA': {'desc': '', 'val': 135.0274658203125}}",,,,39184635CB7E6005C551001C05F3,14,,"{'mrdp': {'desc': 'Speed', 'val': 243}}",,,,"{'Power': {'desc': '', 'val': 5}}",1,,,,,,,,,1741740517035.0,,,,1317A53A,,,,
,,,,"{'V': {'desc': '', 'val': 0, 'meaning': 'Code validated'}, 'G': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'spare': {'desc': 'spare bits set to 0', 'val': 0, 'const': 0}, 'ModeC': {'desc': 'Mode-C reply in Gray notation', 'val': 6}, 'QC1': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QA1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA2': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QC4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB1': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QD1': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QB2': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QD2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}}",,,,,,,,,,,,,C35900020002020000090000060938,15,"{'SAC': {'desc': 'System Area Code', 'val': 2}, 'SIC': {'desc': 'System Identification Code', 'val': 0}}","{'mrdp': {'desc': 'Speed', 'val': 0}}",,,,,1,,"{'spare': {'desc': 'spares bit set to 0', 'val': 0, 'const': 0}, 'QA4': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QA2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB4': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QB2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}}",,,"{'TYP': {'desc': '', 'val': 0, 'meaning': 'Plot'}, 'SIM': {'desc': '', 'val': 0, 'meaning': 'Actual plot or track'}, 'SSRPSR': {'desc': '', 'val': 0, 'meaning': 'No detection'}, 'ANT': {'desc': '', 'val': 0, 'meaning': 'Target report from antenna 1'}, 'SPI': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'RAB': {'desc': '', 'val': 1, 'meaning': 'Plot or track from a fixed transponder'}, 'FX': {'desc': '', 'val': 0, 'meaning': 'End of Data Item'}}","{'Time': {'desc': '', 'val': 4.0}}",,,1741740517035.0,,,,6E0E45E4,,,,
,,,,,,,,,,,,,,,,,00,1,,,,,,,1,,,,,,,,,1741740517035.0,,,,A505DF1B,,,,
,,,,,,,,,,,,,,,,,4C00903677671500,8,,,,,,,1,"{'V': {'desc': '', 'val': 1, 'meaning': 'Code not validated'}, 'G': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'ModeC': {'desc': 'Mode-C reply code', 'val': 1037.5}}",,,,"{'TYP': {'desc': '', 'val': 0, 'meaning': 'Plot'}, 'SIM': {'desc': '', 'val': 0, 'meaning': 'Actual plot or track'}, 'SSRPSR': {'desc': '', 'val': 0, 'meaning': 'No detection'}, 'ANT': {'desc': '', 'val': 0, 'meaning': 'Target report from antenna 1'}, 'SPI': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'RAB': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'FX': {'desc': '', 'val': 0, 'meaning': 'End of Data Item'}}",,,,1741740517035.0,,,,6878F0A4,,"[{'Ind': {'desc': 'Indicator', 'val': 59}, 'FX': {'desc': 'extension into next extent', 'val': 1}}, {'Ind': {'desc': 'Indicator', 'val': 51}, 'FX': {'desc': 'extension into next extent', 'val': 1}}, {'Ind': {'desc': 'Indicator', 'val': 10}, 'FX': {'desc': 'extension into next extent', 'val': 1}}, {'Ind': {'desc': 'Indicator', 'val': 0}, 'FX': {'desc': 'extension into next extent', 'val': 0}}]",,
,,,,,,,,,,,,,,,,,48F51B736BC306081E,9,,,,,,,1,"{'V': {'desc': '', 'val': 0, 'meaning': 'Code validated'}, 'G': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'ModeC': {'desc': 'Mode-C reply code', 'val': 519.5}}",,,,"{'TYP': {'desc': '', 'val': 1, 'meaning': 'Track'}, 'SIM': {'desc': '', 'val': 1, 'meaning': 'Simulated plot or track'}, 'SSRPSR': {'desc': '', 'val': 3, 'meaning': 'Combined primary and secondary detection'}, 'ANT': {'desc': '', 'val': 0, 'meaning': 'Target report from antenna 1'}, 'SPI': {'desc': '', 'val': 1, 'meaning': 'Special Position Identification'}, 'RAB': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'FX': {'desc': '', 'val': 0, 'meaning': 'End of Data Item'}, 'TST': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'DS1DS2': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'ME': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'MI': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'spare': {'desc': 'spare bits set to 0', 'val': 3, 'const': 0}}",,,,1741740517035.0,,,,779DC0EA,,,,
,,,,,,,,,,,,,,,,,,4,,,,,,,1,,,,,,,,,1741740517035.0,,,,00000000,,,,
,,,,,,,"{'X': {'desc': 'X component', 'val': 4078}, 'Y': {'desc': 'Y component', 'val': 1088}}",,,,,,,,,,48000FEE0440,6,,,,,,,1,,,,,"{'TYP': {'desc': '', 'val': 0, 'meaning': 'Plot'}, 'SIM': {'desc': '', 'val': 0, 'meaning': 'Actual plot or track'}, 'SSRPSR': {'desc': '', 'val': 0, 'meaning': 'No detection'}, 'ANT': {'desc': '', 'val': 0, 'meaning': 'Target report from antenna 1'}, 'SPI': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'RAB': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'FX': {'desc': '', 'val': 0, 'meaning': 'End of Data Item'}}",,,,1741740517035.0,,,,703A936F,,,,
